id,t,x,y,z
"18715976","108","-0.0854663","0.033268","0.00778316"
"18715977","109","-0.0851787","0.0297758","0.00743728"
"18715978","110","-0.0849158","0.0262829","0.00698021"
"18715979","111","-0.0846861","0.0227982","0.00641398"
"18715980","112","-0.0844967","0.0193221","0.0057285"
"18715981","113","-0.0843574","0.0158489","0.00489028"
"18715982","114","-0.0842751","0.01237","0.0038623"
"18715983","115","-0.0842427","0.0088753","0.00264364"
"18715984","116","-0.0842322","0.00535555","0.00129188"
"18715985","117","-0.0842192","0.00180425","-0.000159094"
"18715986","118","-0.0841871","-0.00178496","-0.00172549"
"18715987","119","-0.0841254","-0.00541268","-0.0034704"
"18715988","120","-0.0840273","-0.00906496","-0.00546798"
"18715989","121","-0.0838894","-0.0127014","-0.00774396"
"18715990","122","-0.0837147","-0.0162414","-0.0101918"
"18715991","123","-0.0835123","-0.0195941","-0.0125621"
"18715992","124","-0.083279","-0.0227999","-0.0147397"
"18715993","125","-0.0830035","-0.0259752","-0.0167474"
"18715994","126","-0.0826771","-0.0292156","-0.0186511"
"18715995","127","-0.0823015","-0.0325643","-0.0205058"
"18715996","128","-0.0818932","-0.0360197","-0.022335"
"18715997","129","-0.0814802","-0.0395547","-0.0241369"
"18715998","130","-0.0810837","-0.0431351","-0.0259108"
"18715999","131","-0.0807085","-0.0467351","-0.027677"
"18716000","132","-0.0803495","-0.0503433","-0.0294512"
"18716001","133","-0.0800009","-0.0539641","-0.031219"
"18716002","134","-0.0796578","-0.0576066","-0.0329373"
"18716003","135","-0.0793202","-0.0612695","-0.0345342"
"18716004","136","-0.0789878","-0.0649265","-0.0359195"
"18716005","137","-0.0786576","-0.0685133","-0.0369981"
"18716006","138","-0.0783218","-0.0719152","-0.0377073"
"18716007","139","-0.0779653","-0.075","-0.0380514"
"18716008","140","-0.0775674","-0.07776","-0.0380607"
"18716009","141","-0.0771152","-0.0802697","-0.0377934"
"18716010","142","-0.0766086","-0.0825871","-0.0373056"
"18716011","143","-0.0760606","-0.0847218","-0.0366413"
"18716012","144","-0.0754967","-0.0866418","-0.0358361"
"18716013","145","-0.0749546","-0.0882863","-0.034929"
"18716014","146","-0.0744797","-0.0895848","-0.0339893"
"18716015","147","-0.0741188","-0.0904808","-0.033114"
"18716016","148","-0.0738965","-0.0909813","-0.0323424"
"18716017","149","-0.0738195","-0.0911407","-0.0316677"
"18716018","150","-0.0738837","-0.0910399","-0.0310717"
"18716019","151","-0.0740891","-0.0907362","-0.0305469"
"18716020","152","-0.0744432","-0.090254","-0.0301028"
"18716021","153","-0.0749561","-0.0895983","-0.0297623"
"18716022","154","-0.0756382","-0.0887655","-0.0295447"
"18716023","155","-0.0764936","-0.0877557","-0.02946"
"18716024","156","-0.0774975","-0.0865997","-0.0294999"
"18716025","157","-0.0786122","-0.0853395","-0.0296583"
"18716026","158","-0.0797902","-0.0840229","-0.0299324"
"18716027","159","-0.0809792","-0.0827044","-0.0303032"
"18716028","160","-0.0821353","-0.0814394","-0.0307465"
"18716029","161","-0.0832237","-0.0802808","-0.0312412"
"18716030","162","-0.0842178","-0.0792762","-0.0317797"
"18716031","163","-0.0851001","-0.0784567","-0.032351"
"18716032","164","-0.0858669","-0.0778249","-0.0329277"
"18716033","165","-0.0865215","-0.077372","-0.0334866"
"18716034","167","-0.0870728","-0.0770792","-0.0340157"
"18716035","168","-0.087537","-0.0769125","-0.0345112"
"18716036","169","-0.0879343","-0.0768284","-0.0349736"
"18716037","170","-0.0882881","-0.0767825","-0.0354066"
"18716038","171","-0.0886227","-0.0767383","-0.035818"
"18716039","172","-0.0889603","-0.0766664","-0.0362237"
"18716040","173","-0.0893172","-0.0765481","-0.0366475"
"18716041","174","-0.089702","-0.0763774","-0.037119"
"18716042","175","-0.0901175","-0.0761615","-0.037674"
"18716043","176","-0.09056","-0.0759102","-0.0383472"
"18716044","177","-0.0910195","-0.0756351","-0.039166"
"18716045","178","-0.0914859","-0.0753433","-0.040154"
"18716046","179","-0.0919491","-0.0750384","-0.0413207"
