id,t,x,y,z
"2760754","115","-0.0482776","0.0236928","-0.0328991"
"2760755","116","-0.0464199","0.02502","-0.0331459"
"2760756","117","-0.0443522","0.0261637","-0.0334952"
"2760757","118","-0.0420964","0.0271125","-0.0339262"
"2760758","119","-0.0396908","0.0278714","-0.034413"
"2760759","120","-0.037178","0.0284627","-0.0349307"
"2760760","121","-0.0345941","0.0289209","-0.0354579"
"2760761","122","-0.0319685","0.0292817","-0.0359766"
"2760762","123","-0.0293209","0.0295779","-0.0364737"
"2760763","124","-0.0266628","0.0298395","-0.0369405"
"2760764","125","-0.0240017","0.0300899","-0.0373694"
"2760765","126","-0.0213417","0.0303477","-0.0377549"
"2760766","127","-0.0186847","0.0306275","-0.0380932"
"2760767","128","-0.0160305","0.0309406","-0.0383836"
"2760768","129","-0.0133689","0.0312945","-0.0386309"
"2760769","130","-0.0106877","0.0316937","-0.0388422"
"2760770","131","-0.00797518","0.0321386","-0.0390233"
"2760771","132","-0.00522409","0.032628","-0.0391693"
"2760772","133","-0.00242457","0.0331616","-0.0392892"
"2760773","134","0.00042881","0.0337441","-0.039394"
"2760774","135","0.0033385","0.0343769","-0.0394955"
"2760775","136","0.00631941","0.0350645","-0.0396036"
"2760776","137","0.00937953","0.0358047","-0.0397166"
"2760777","138","0.0125186","0.0365954","-0.0398141"
"2760778","139","0.015735","0.0374417","-0.0398744"
"2760779","140","0.0190238","0.0383475","-0.0398992"
"2760780","141","0.0223721","0.0392962","-0.0398658"
"2760781","142","0.0257833","0.0402641","-0.0397841"
"2760782","143","0.0292618","0.0412248","-0.0396746"
"2760783","144","0.0328","0.0421489","-0.0395343"
"2760784","145","0.0363754","0.0430093","-0.0393291"
"2760785","146","0.0399611","0.0438031","-0.0390346"
"2760786","147","0.0435548","0.0445236","-0.0387062"
"2760787","148","0.0471739","0.0451646","-0.038431"
"2760788","149","0.050814","0.0457075","-0.0382401"
"2760789","150","0.0544396","0.0460961","-0.0381006"
"2760790","151","0.0580212","0.0462456","-0.0380065"
"2760791","152","0.0615367","0.0460676","-0.0379943"
"2760792","153","0.0649616","0.0454857","-0.0381068"
"2760793","154","0.0682695","0.0444578","-0.0383773"
"2760794","155","0.071434","0.0429807","-0.038803"
"2760795","156","0.0744479","0.0410897","-0.0393617"
"2760796","157","0.0773114","0.0388621","-0.0400231"
"2760797","158","0.0800269","0.0364114","-0.0407599"
"2760798","159","0.0825943","0.033859","-0.0415379"
"2760799","160","0.0850335","0.0313203","-0.0423276"
"2760800","161","0.0873805","0.0288886","-0.0431116"
"2760801","162","0.0896734","0.0266258","-0.04387"
"2760802","163","0.0919462","0.0245743","-0.0445809"
"2760803","164","0.094227","0.0227617","-0.0452242"
"2760804","165","0.0965331","0.0211893","-0.0457835"
"2760805","166","0.0988706","0.0198258","-0.0462469"
"2760806","167","0.101236","0.0186338","-0.0466091"
"2760807","168","0.103609","0.017575","-0.0468674"
"2760808","169","0.105971","0.0166201","-0.0470201"
"2760809","170","0.108328","0.0157464","-0.0470708"
"2760810","171","0.110693","0.0149375","-0.0470291"
"2760811","172","0.113074","0.0141668","-0.0469056"
"2760812","173","0.115465","0.013409","-0.0467041"
"2760813","174","0.117866","0.0126502","-0.0464233"
"2760814","175","0.120281","0.0118836","-0.0460623"
"2760815","176","0.122714","0.0111101","-0.0456205"
"2760816","177","0.125155","0.0103266","-0.0450966"
"2760817","178","0.127596","0.00951815","-0.0444949"
"2760818","179","0.13004","0.00866669","-0.0438225"
