x,y,vel_x,vel_y
-0.141901,0.0747677,0.372696,0.129861
-0.13815,0.0760759,0.379958,0.132756
-0.134292,0.0774299,0.390238,0.137793
-0.130339,0.0788326,0.402526,0.143086
-0.126187,0.080302,0.431152,0.151488
-0.121698,0.0818591,0.465134,0.15889
-0.116922,0.0834586,0.487912,0.159921
-0.111978,0.0850382,0.499219,0.15518
-0.106985,0.0865457,0.496443,0.145484
-0.102107,0.0879331,0.476381,0.131348
-0.097509,0.0891591,0.440704,0.113169
-0.0933383,0.0901865,0.391323,0.0919736
-0.0897211,0.090989,0.330362,0.0679019
-0.0867632,0.0915269,0.259772,0.0385502
-0.0845305,0.0917419,0.187733,0.00375744
-0.0829874,0.0915853,0.122028,-0.0360646
-0.082073,0.0909975,0.0614061,-0.0828337
-0.0817303,0.0899118,0.00949099,-0.134646
-0.0818334,0.0883037,-0.027493,-0.186716
-0.0822003,0.0862106,-0.0405365,-0.228848
-0.0825446,0.0837847,-0.0237148,-0.253572
-0.0825978,0.0811811,0.0161561,-0.26571
-0.0821738,0.078499,0.0703121,-0.269318
-0.0811793,0.0758363,0.128141,-0.260446
-0.0796206,0.073334,0.183087,-0.238381
-0.0775457,0.0710909,0.22959,-0.209666
-0.0750713,0.0691498,0.263339,-0.178231
-0.0723,0.0675348,0.290764,-0.144228
-0.0692579,0.0662671,0.317626,-0.109645
-0.065968,0.0653101,0.338337,-0.0846047
-0.0625196,0.0645261,0.350517,-0.0742582
-0.0589656,0.0637924,0.360324,-0.0736813
-0.0553085,0.0630362,0.371537,-0.0779692
-0.0515264,0.0622317,0.385272,-0.0826422
-0.0476029,0.061393,0.399044,-0.0844315
-0.0435616,0.0605593,0.408008,-0.0813618
-0.0394809,0.0597854,0.405513,-0.072413
-0.0354621,0.0591214,0.39979,-0.0603421
-0.0314418,0.0585724,0.407063,-0.050099
-0.0272736,0.0581054,0.428492,-0.0440812
-0.0228467,0.0576764,0.457486,-0.0423703
-0.0181257,0.0572468,0.485924,-0.0440026
-0.013157,0.0567904,0.505738,-0.0474281
-0.00806453,0.0562993,0.509487,-0.0505498
-0.00304494,0.0557892,0.489933,-0.0507409
0.0016946,0.0552942,0.45852,-0.0479929
0.00615419,0.0548329,0.435728,-0.0441725
0.010446,0.0544116,0.423977,-0.0401177
0.0146431,0.0540292,0.415038,-0.0364773
0.0187212,0.0536782,0.398456,-0.0339738
0.0225603,0.0533419,0.366309,-0.0337963
0.0259851,0.0529893,0.315481,-0.037515
0.0288142,0.0525731,0.247936,-0.0468004
0.0309105,0.0520306,0.170377,-0.0628981
0.0322207,0.051291,0.0924801,-0.0862235
0.0327926,0.0502845,0.0243287,-0.116051
0.0327686,0.0489539,-0.0254211,-0.150711
0.0323653,0.0472615,-0.0508431,-0.188006
0.0318392,0.0451951,-0.05003,-0.224915
0.0314461,0.0427772,-0.024774,-0.257613
0.0314113,0.0400695,0.0207787,-0.282307
0.0319055,0.0371651,0.0794703,-0.296783
0.0330132,0.0341679,0.141895,-0.30103
0.0347295,0.031174,0.200153,-0.296427
0.0369877,0.0282626,0.249851,-0.28486
0.0396921,0.0254946,0.289237,-0.267953
0.0427386,0.0229173,0.318462,-0.246919
0.0460338,0.0205665,0.339404,-0.2228
0.0495095,0.0184683,0.355212,-0.196571
0.0531302,0.0166382,0.368674,-0.169406
0.0568791,0.0150792,0.380969,-0.142548
0.0607449,0.0137832,0.391861,-0.116908
0.0647086,0.0127358,0.400431,-0.0928403
0.0687384,0.0119217,0.404455,-0.0701759
0.0727655,0.0113277,0.398801,-0.0488734
0.0766568,0.0109379,0.37587,-0.0294857
0.0802765,0.0107256,0.351042,-0.0138142
0.0837559,0.0106454,0.349696,-0.00299327
0.0873536,0.0106519,0.373295,0.00366039
0.0912802,0.0107063,0.41441,0.00660729
0.0956804,0.0107717,0.467119,0.00586824
0.100641,0.0108116,0.525443,0.00152372
0.106181,0.0107919,0.581157,-0.00591816
0.112193,0.0106872,0.615419,-0.015186
0.118287,0.0104903,0.58916,-0.0238167
0.123798,0.0102127,0.50956,-0.0319002
0.12848,0.00984749,0.430541,-0.0414164
0.132533,0.00938423,0.388568,-0.050965
0.136398,0.00883378,0.390399,-0.0588338
0.140425,0.00821327,0.417588,-0.0649865
0.144772,0.00753901,0.451657,-0.0696513
0.149436,0.00682405,0.479168,-0.0731732
0.154309,0.006079,0.492702,-0.0756606
0.159236,0.00531445,0.489892,-0.0770646
0.164054,0.00454147,0.471178,-0.0773392
0.168613,0.00377187,0.438421,-0.0763541
0.172783,0.00301949,0.393704,-0.0738392
0.176452,0.00230172,0.33845,-0.0693338
0.179521,0.00163959,0.27398,-0.062795
0.181906,0.00105082,0.202004,-0.0547554
0.183541,0.000546366,0.124003,-0.0461506
0.184397,0.000122,0.0493564,-0.0392886
0.184566,-0.000250171,-0.0138014,-0.0356562
0.184185,-0.000602652,-0.0579321,-0.0354821
0.183486,-0.000968009,-0.0785235,-0.0377666
0.18269,-0.00135625,-0.0765334,-0.0395295
0.182026,-0.00174907,-0.0533765,-0.0384325
0.181673,-0.00211052,-0.0150731,-0.0330221
0.18176,-0.00239423,0.0339175,-0.0230283
0.182363,-0.00256169,0.0864863,-0.010215
0.183486,-0.00259479,0.137794,0.00371976
0.185117,-0.00248516,0.188509,0.0182948
0.187243,-0.00223243,0.235404,0.0318092
0.189803,-0.00185664,0.275692,0.0430231
0.192725,-0.00138191,0.30649,0.051256
0.195891,-0.000843797,0.32478,0.0558062
0.19919,-0.00027587,0.333931,0.0573299
0.202551,0.000294636,0.337591,0.0564041
0.205934,0.000845593,0.338657,0.0534928
0.209323,0.00135956,0.339154,0.0491023
0.212719,0.00182412,0.340378,0.043655
0.216136,0.00222927,0.343365,0.0371912
0.219596,0.00256216,0.349349,0.0289923
0.223136,0.00280033,0.35914,0.018158
0.226789,0.00291744,0.371742,0.00496013
0.230567,0.00290006,0.383391,-0.00807924
0.234449,0.00275948,0.392673,-0.0200311
0.238422,0.00249698,0.402248,-0.032721
0.242501,0.00209845,0.414115,-0.0473947
0.246714,0.00153778,0.429028,-0.0654617
0.251086,0.000777042,0.445278,-0.0871794
0.255603,-0.000204635,0.456487,-0.108544
0.260157,-0.0013581,0.450085,-0.119187
0.264566,-0.00254721,0.432014,-0.117482
0.268826,-0.00369401,0.422609,-0.111658
0.273071,-0.00477971,0.429191,-0.105637
0.277449,-0.00580751,0.447312,-0.0998456
0.282029,-0.00677698,0.468781,-0.0941608
0.286823,-0.00769493,0.48984,-0.0897368
0.291804,-0.00858005,0.504485,-0.0878144
0.296873,-0.00946061,0.507376,-0.0887115
0.301915,-0.0103618,0.499203,-0.0918651
0.306827,-0.011303,0.482034,-0.0965465
0.311531,-0.012293,0.457606,-0.101312
0.315956,-0.0133247,0.426026,-0.104712
0.320022,-0.014379,0.385598,-0.105642
0.323629,-0.0154248,0.333518,-0.102754
0.326643,-0.0164159,0.266514,-0.0943905
0.3289,-0.0172892,0.181893,-0.078986
0.330243,-0.0179825,0.0858753,-0.0596598
0.330626,-0.0184877,-0.00765772,-0.0419468
0.330156,-0.0188349,-0.0813934,-0.0282802
0.329095,-0.0190673,-0.126066,-0.018809
0.327718,-0.0192204,-0.145686,-0.0121344
0.326248,-0.0193139,-0.145266,-0.00662798
0.324864,-0.0193524,-0.129492,-0.000930656
0.323695,-0.0193298,-0.102823,0.00557497
0.322832,-0.0192413,-0.0687895,0.0119344
0.322334,-0.0190954,-0.0301963,0.0170271
0.322235,-0.0189053,0.010507,0.0207634
0.322548,-0.0186829,0.0523686,0.0236423
0.323293,-0.018432,0.0974003,0.0266744
0.324529,-0.0181456,0.152195,0.0308577
0.326385,-0.0178095,0.221368,0.0366257
0.328979,-0.01741,0.297357,0.0433258
0.332266,-0.0169476,0.353633,0.0486534
0.335946,-0.0164478,0.378243,0.05073
0.33977,-0.0159449,0.384749,0.0492332
0.343617,-0.015476,0.384158,0.0438652
0.347453,-0.0150811,0.383271,0.0344408
0.351283,-0.0147992,0.382478,0.0214044
0.355102,-0.0146638,0.381548,0.00513814
0.358919,-0.0147034,0.382085,-0.0132099
0.362741,-0.01492,0.381831,-0.0291663
0.366549,-0.015269,0.379648,-0.0398044
0.370333,-0.0157019,0.37709,-0.0461837
0.374094,-0.0161826,0.375419,-0.0495466
0.377848,-0.0166869,0.375824,-0.0511369
0.38162,-0.0172041,0.379268,-0.0523505
0.385445,-0.0177369,0.386133,-0.0544631
0.389348,-0.0182942,0.394505,-0.0568184
0.393331,-0.0188675,0.401874,-0.0574382
0.397383,-0.0194344,0.408347,-0.0554999
0.401501,-0.0199701,0.415537,-0.0513409
