id,t,x,y,z
19308810,0,0.608946,-0.143531,0.082646
19308811,1,0.608965,-0.140177,0.0815805
19308812,2,0.609027,-0.136768,0.0805164
19308813,3,0.609213,-0.133183,0.0794809
19308814,4,0.609611,-0.129305,0.0784821
19308815,5,0.610316,-0.125109,0.0775097
19308816,6,0.611408,-0.120685,0.0765807
19308817,7,0.612931,-0.116214,0.075764
19308818,8,0.614887,-0.111909,0.0751588
19308819,9,0.617233,-0.107972,0.0748615
19308820,10,0.619907,-0.104558,0.0749594
19308821,11,0.622842,-0.101759,0.0755261
19308822,12,0.625964,-0.0995847,0.0765993
19308823,13,0.629146,-0.0979081,0.0781173
19308824,14,0.632264,-0.0965191,0.0799539
19308825,15,0.635241,-0.0952206,0.0819686
19308826,16,0.638044,-0.0938529,0.0840438
19308827,17,0.640669,-0.0923008,0.0860994
19308828,18,0.64312,-0.0905001,0.0880914
19308829,19,0.645409,-0.0884292,0.0899949
19308830,20,0.647545,-0.0860988,0.0917999
19308831,21,0.649529,-0.0835389,0.0935065
19308832,22,0.651357,-0.0807845,0.0951139
19308833,23,0.653027,-0.0778711,0.096624
19308834,24,0.654563,-0.0748575,0.0980455
19308835,25,0.655983,-0.0718031,0.0993895
19308836,26,0.657275,-0.0687712,0.100668
19308837,27,0.658386,-0.0658705,0.101855
19308838,28,0.659234,-0.0632544,0.102881
19308839,29,0.659779,-0.0609257,0.103726
19308840,30,0.660046,-0.0587713,0.104434
19308841,31,0.660118,-0.0566556,0.105107
19308842,32,0.660058,-0.0545012,0.105836
19308843,33,0.659885,-0.0523065,0.106664
19308844,34,0.659573,-0.0501203,0.107598
19308845,35,0.659072,-0.048007,0.108605
19308846,36,0.658321,-0.0460142,0.109633
19308847,37,0.657274,-0.0441564,0.110641
19308848,38,0.655904,-0.0424162,0.111613
19308849,39,0.654213,-0.0407514,0.11257
19308850,40,0.652232,-0.0391088,0.11355
19308851,41,0.650014,-0.0374307,0.114592
19308852,42,0.647614,-0.0356676,0.115728
19308853,43,0.645085,-0.0337883,0.116978
19308854,44,0.642463,-0.0317858,0.118359
19308855,45,0.639771,-0.0296752,0.119876
19308856,46,0.637026,-0.0274844,0.121528
19308857,47,0.634249,-0.0252452,0.123314
19308858,48,0.631463,-0.0229899,0.125236
19308859,49,0.628692,-0.0207414,0.127299
19308860,50,0.625947,-0.018503,0.129508
19308861,51,0.62322,-0.0162586,0.131864
19308862,52,0.620492,-0.0139823,0.134362
19308863,53,0.617737,-0.0116502,0.136971
19308864,54,0.614926,-0.00924837,0.139632
19308865,55,0.612022,-0.00677598,0.142251
19308866,56,0.60898,-0.00424175,0.144688
19308867,57,0.605756,-0.00165443,0.146771
19308868,58,0.602319,0.000977603,0.148326
19308869,59,0.598653,0.00364832,0.149227
19308870,60,0.594755,0.00636477,0.149459
19308871,61,0.590654,0.00913959,0.149128
19308872,62,0.586423,0.0119754,0.148436
19308873,63,0.582189,0.0148508,0.147614
19308874,64,0.578114,0.0177088,0.146871
19308875,65,0.574363,0.0204479,0.146405
19308876,66,0.571083,0.0229316,0.146333
19308877,67,0.568392,0.0249985,0.146684
19308878,68,0.566385,0.026495,0.147422
19308879,69,0.565056,0.027349,0.148397
19308880,70,0.56422,0.0276255,0.149336
19308881,71,0.563694,0.0274002,0.150023
19308882,72,0.563276,0.0267735,0.150341
19308883,73,0.562832,0.0258105,0.150273
19308884,74,0.562267,0.0245695,0.149897
19308885,75,0.561556,0.0230572,0.149308
19308886,76,0.560736,0.0212871,0.148633
19308887,77,0.559889,0.0193367,0.148047
19308888,78,0.559116,0.0172426,0.14767
19308889,79,0.558531,0.0150064,0.147553
19308890,80,0.558235,0.0125928,0.147711
19308891,81,0.558281,0.00997705,0.148115
19308892,82,0.558612,0.0072229,0.148647
19308893,83,0.559042,0.00447504,0.149073
19308894,84,0.559441,0.00167098,0.149174
19308895,85,0.559768,-0.00137114,0.148818
19308896,87,0.560049,-0.00481086,0.147979
19308897,88,0.560367,-0.008748,0.146706
